2024-09-08 22:35:45,974 - INFO -                           ade
soc_code label data_type     
10007541 15    train       73
               val         19
10013993 18    train       13
               val          3
10014698 24    train        2
               val          1
10015919 10    train       54
               val         13
10017947 3     train      240
               val         60
10018065 1     train      523
               val        131
10019805 19    train       12
               val          3
10021428 13    train        3
               val          1
10021881 17    train        4
               val          1
10022117 9     train       28
               val          7
10022891 5     train       65
               val         17
10027433 6     train        5
               val          1
10028395 4     train      769
               val        193
10029104 21    val          1
10029205 2     train      229
               val         57
10037175 0     train      321
               val         80
10038359 16    train       40
               val         10
10038604 11    train       47
               val         12
10038738 8     train       73
               val         18
10040785 7     train      147
               val         37
10041244 14    train        6
               val          1
10047065 12    train       20
               val          5
2024-09-08 22:35:47,832 - INFO - Device used: cuda
2024-09-08 22:35:48,231 - INFO - No description - training_loss=1.040
2024-09-08 22:35:48,409 - INFO - No description - training_loss=1.054
2024-09-08 22:35:48,573 - INFO - No description - training_loss=0.967
2024-09-08 22:35:48,747 - INFO - No description - training_loss=0.949
2024-09-08 22:35:48,918 - INFO - No description - training_loss=0.925
2024-09-08 22:35:49,089 - INFO - No description - training_loss=1.023
2024-09-08 22:35:49,262 - INFO - No description - training_loss=1.014
2024-09-08 22:35:49,431 - INFO - No description - training_loss=0.866
2024-09-08 22:35:49,595 - INFO - No description - training_loss=0.928
2024-09-08 22:35:49,760 - INFO - No description - training_loss=0.946
2024-09-08 22:35:49,926 - INFO - No description - training_loss=0.889
2024-09-08 22:35:50,090 - INFO - No description - training_loss=0.959
2024-09-08 22:35:50,256 - INFO - No description - training_loss=0.874
2024-09-08 22:35:50,424 - INFO - No description - training_loss=0.942
2024-09-08 22:35:50,590 - INFO - No description - training_loss=0.726
2024-09-08 22:35:50,756 - INFO - No description - training_loss=0.758
2024-09-08 22:35:50,922 - INFO - No description - training_loss=0.789
2024-09-08 22:35:51,088 - INFO - No description - training_loss=0.639
2024-09-08 22:35:51,253 - INFO - No description - training_loss=0.693
2024-09-08 22:35:51,420 - INFO - No description - training_loss=0.789
2024-09-08 22:35:51,586 - INFO - No description - training_loss=0.797
2024-09-08 22:35:51,752 - INFO - No description - training_loss=0.781
2024-09-08 22:35:51,918 - INFO - No description - training_loss=0.766
2024-09-08 22:35:52,084 - INFO - No description - training_loss=0.816
2024-09-08 22:35:52,249 - INFO - No description - training_loss=0.774
2024-09-08 22:35:52,416 - INFO - No description - training_loss=0.628
2024-09-08 22:35:52,583 - INFO - No description - training_loss=0.757
2024-09-08 22:35:52,748 - INFO - No description - training_loss=0.712
2024-09-08 22:35:52,914 - INFO - No description - training_loss=0.620
2024-09-08 22:35:53,079 - INFO - No description - training_loss=0.684
2024-09-08 22:35:53,246 - INFO - No description - training_loss=0.550
2024-09-08 22:35:53,412 - INFO - No description - training_loss=0.793
2024-09-08 22:35:53,577 - INFO - No description - training_loss=0.728
2024-09-08 22:35:53,744 - INFO - No description - training_loss=0.691
2024-09-08 22:35:53,910 - INFO - No description - training_loss=0.684
2024-09-08 22:35:54,076 - INFO - No description - training_loss=0.565
2024-09-08 22:35:54,242 - INFO - No description - training_loss=0.680
2024-09-08 22:35:54,408 - INFO - No description - training_loss=0.557
2024-09-08 22:35:54,574 - INFO - No description - training_loss=0.804
