Seed	Label	Precision	Recall	F1
2	0	0.9136	0.9250	0.9193
2	1	0.9313	0.9313	0.9313
2	2	0.9310	0.9474	0.9391
2	3	0.9500	0.9500	0.9500
2	4	0.9526	0.9427	0.9476
2	5	1.0000	1.0000	1.0000
4	0	0.8506	0.9250	0.8862
4	1	0.9000	0.8931	0.8966
4	2	0.8947	0.8947	0.8947
4	3	0.9138	0.8833	0.8983
4	4	0.9683	0.9531	0.9606
4	5	1.0000	0.9412	0.9697
6	0	0.8810	0.9250	0.9024
6	1	0.9032	0.8550	0.8784
6	2	0.9273	0.8947	0.9107
6	3	0.9048	0.9500	0.9268
6	4	0.9433	0.9531	0.9482
6	5	1.0000	1.0000	1.0000
8	0	0.9324	0.8625	0.8961
8	1	0.8489	0.9008	0.8741
8	2	0.9153	0.9474	0.9310
8	3	0.8793	0.8500	0.8644
8	4	0.9474	0.9375	0.9424
8	5	1.0000	1.0000	1.0000
10	0	0.9136	0.9250	0.9193
10	1	0.8538	0.8473	0.8506
10	2	0.8462	0.9649	0.9016
10	3	0.8909	0.8167	0.8522
10	4	0.9312	0.9167	0.9239
10	5	1.0000	1.0000	1.0000
12	0	0.9241	0.9125	0.9182
12	1	0.9120	0.8702	0.8906
12	2	0.9444	0.8947	0.9189
12	3	0.9500	0.9500	0.9500
12	4	0.9158	0.9635	0.9391
12	5	1.0000	1.0000	1.0000
14	0	0.9512	0.9750	0.9630
14	1	0.9508	0.8855	0.9170
14	2	0.8833	0.9298	0.9060
14	3	0.9344	0.9500	0.9421
14	4	0.9436	0.9583	0.9509
14	5	1.0000	1.0000	1.0000
16	0	0.9241	0.9125	0.9182
16	1	0.8672	0.8473	0.8571
16	2	0.8525	0.9123	0.8814
16	3	0.8689	0.8833	0.8760
16	4	0.9424	0.9375	0.9399
16	5	1.0000	1.0000	1.0000
18	0	0.8929	0.9375	0.9146
18	1	0.8769	0.8702	0.8736
18	2	0.8889	0.8421	0.8649
18	3	0.9423	0.8167	0.8750
18	4	0.9300	0.9688	0.9490
18	5	1.0000	1.0000	1.0000
20	0	0.9740	0.9375	0.9554
20	1	0.9055	0.8779	0.8915
20	2	0.9123	0.9123	0.9123
20	3	0.9492	0.9333	0.9412
20	4	0.9250	0.9635	0.9439
20	5	1.0000	1.0000	1.0000
22	0	0.9474	0.9000	0.9231
22	1	0.8815	0.9084	0.8947
22	2	0.9474	0.9474	0.9474
22	3	0.8983	0.8833	0.8908
22	4	0.9531	0.9531	0.9531
22	5	0.9444	1.0000	0.9714
24	0	0.9036	0.9375	0.9202
24	1	0.9048	0.8702	0.8872
24	2	0.8548	0.9298	0.8908
24	3	0.8966	0.8667	0.8814
24	4	0.9427	0.9427	0.9427
24	5	1.0000	0.9412	0.9697
26	0	0.9615	0.9375	0.9494
26	1	0.9268	0.8702	0.8976
26	2	0.9464	0.9298	0.9381
26	3	0.8636	0.9500	0.9048
26	4	0.9439	0.9635	0.9536
26	5	0.9444	1.0000	0.9714
28	0	0.9189	0.8500	0.8831
28	1	0.8731	0.8931	0.8830
28	2	0.9123	0.9123	0.9123
28	3	0.8871	0.9167	0.9016
28	4	0.9637	0.9688	0.9662
28	5	0.9412	0.9412	0.9412
30	0	0.9367	0.9250	0.9308
30	1	0.8252	0.9008	0.8613
30	2	0.9792	0.8246	0.8952
30	3	0.8966	0.8667	0.8814
30	4	0.9330	0.9427	0.9378
30	5	1.0000	0.8824	0.9375
32	0	0.9474	0.9000	0.9231
32	1	0.8898	0.8626	0.8760
32	2	0.8814	0.9123	0.8966
32	3	0.9062	0.9667	0.9355
32	4	0.9381	0.9479	0.9430
32	5	1.0000	1.0000	1.0000
34	0	0.9091	0.8750	0.8917
34	1	0.8788	0.8855	0.8821
34	2	0.9615	0.8772	0.9174
34	3	0.9474	0.9000	0.9231
34	4	0.9307	0.9792	0.9543
34	5	1.0000	1.0000	1.0000
36	0	0.9178	0.8375	0.8758
36	1	0.8252	0.9008	0.8613
36	2	0.9483	0.9649	0.9565
36	3	0.9016	0.9167	0.9091
36	4	0.9622	0.9271	0.9443
36	5	0.9412	0.9412	0.9412
38	0	0.8736	0.9500	0.9102
38	1	0.9062	0.8855	0.8958
38	2	0.9091	0.8772	0.8929
38	3	0.9818	0.9000	0.9391
38	4	0.9541	0.9740	0.9639
38	5	1.0000	0.9412	0.9697
40	0	0.8810	0.9250	0.9024
40	1	0.8855	0.8855	0.8855
40	2	0.9273	0.8947	0.9107
40	3	0.9153	0.9000	0.9076
40	4	0.9583	0.9583	0.9583
40	5	1.0000	0.9412	0.9697
