Seed	Label	Precision	Recall	F1
2	0	0.8986	0.8921	0.8953
2	1	0.9116	0.9270	0.9192
2	2	0.8351	0.8182	0.8265
4	0	0.8864	0.8417	0.8635
4	1	0.8930	0.9382	0.9151
4	2	0.8247	0.8081	0.8163
6	0	0.8992	0.8345	0.8657
6	1	0.8877	0.9326	0.9096
6	2	0.7800	0.7879	0.7839
8	0	0.8992	0.8345	0.8657
8	1	0.8913	0.9213	0.9061
8	2	0.7961	0.8283	0.8119
10	0	0.8731	0.8417	0.8571
10	1	0.8947	0.9551	0.9239
10	2	0.8478	0.7879	0.8168
12	0	0.8696	0.8633	0.8664
12	1	0.8901	0.9101	0.9000
12	2	0.8333	0.8081	0.8205
14	0	0.9141	0.8417	0.8764
14	1	0.8883	0.9382	0.9126
14	2	0.8100	0.8182	0.8141
16	0	0.8705	0.8705	0.8705
16	1	0.8907	0.9157	0.9030
16	2	0.8298	0.7879	0.8083
18	0	0.9015	0.8561	0.8782
18	1	0.9032	0.9438	0.9231
18	2	0.8265	0.8182	0.8223
20	0	0.9023	0.8633	0.8824
20	1	0.9066	0.9270	0.9167
20	2	0.8218	0.8384	0.8300
22	0	0.8714	0.8777	0.8746
22	1	0.8913	0.9213	0.9061
22	2	0.8152	0.7576	0.7853
24	0	0.8806	0.8489	0.8645
24	1	0.9167	0.9270	0.9218
24	2	0.8137	0.8384	0.8259
26	0	0.9008	0.8489	0.8741
26	1	0.8978	0.9382	0.9176
26	2	0.8081	0.8081	0.8081
28	0	0.8824	0.8633	0.8727
28	1	0.9121	0.9326	0.9222
28	2	0.8061	0.7980	0.8020
30	0	0.8731	0.8417	0.8571
30	1	0.8871	0.9270	0.9066
30	2	0.8333	0.8081	0.8205
32	0	0.9008	0.8489	0.8741
32	1	0.8877	0.9326	0.9096
32	2	0.8265	0.8182	0.8223
34	0	0.8741	0.8489	0.8613
34	1	0.9066	0.9270	0.9167
34	2	0.8081	0.8081	0.8081
36	0	0.8889	0.8633	0.8759
36	1	0.9076	0.9382	0.9227
36	2	0.8454	0.8283	0.8367
38	0	0.8750	0.8561	0.8655
38	1	0.8743	0.8989	0.8864
38	2	0.8557	0.8384	0.8469
40	0	0.8741	0.8489	0.8613
40	1	0.8770	0.9213	0.8986
40	2	0.8404	0.7980	0.8187
