Seed	Label	Precision	Recall	F1
2	0	0.8288	0.8231	0.8259
2	1	0.8858	0.9023	0.8940
2	2	0.8173	0.7944	0.8057
4	0	0.8811	0.8235	0.8514
4	1	0.8824	0.9155	0.8986
4	2	0.7905	0.8058	0.7981
6	0	0.8652	0.8243	0.8443
6	1	0.8711	0.9423	0.9053
6	2	0.8737	0.7905	0.8300
8	0	0.8562	0.8170	0.8361
8	1	0.8558	0.8900	0.8725
8	2	0.8131	0.8056	0.8093
10	0	0.8333	0.8451	0.8392
10	1	0.9010	0.8966	0.8988
10	2	0.7925	0.7850	0.7887
12	0	0.7823	0.7986	0.7904
12	1	0.8761	0.8721	0.8741
12	2	0.8037	0.7890	0.7963
14	0	0.8540	0.7852	0.8182
14	1	0.8720	0.9200	0.8954
14	2	0.8131	0.8208	0.8169
16	0	0.8500	0.7933	0.8207
16	1	0.8798	0.8971	0.8883
16	2	0.8070	0.8519	0.8288
18	0	0.8280	0.8725	0.8497
18	1	0.8916	0.8829	0.8873
18	2	0.7670	0.7248	0.7453
20	0	0.8425	0.8483	0.8454
20	1	0.9013	0.9054	0.9034
20	2	0.7982	0.7838	0.7909
22	0	0.7988	0.8792	0.8371
22	1	0.9275	0.8807	0.9035
22	2	0.7864	0.7570	0.7714
24	0	0.8824	0.7843	0.8304
24	1	0.8421	0.9275	0.8828
24	2	0.7900	0.7596	0.7745
26	0	0.8418	0.8926	0.8664
26	1	0.9038	0.9216	0.9126
26	2	0.8100	0.7168	0.7606
28	0	0.8369	0.7973	0.8166
28	1	0.8690	0.9128	0.8904
28	2	0.7900	0.7596	0.7745
30	0	0.8344	0.8344	0.8344
30	1	0.8779	0.9212	0.8990
30	2	0.8454	0.7664	0.8039
32	0	0.8671	0.8552	0.8611
32	1	0.9019	0.8935	0.8977
32	2	0.7706	0.8000	0.7850
34	0	0.7879	0.8725	0.8280
34	1	0.9458	0.8807	0.9121
34	2	0.7736	0.7664	0.7700
36	0	0.8693	0.8867	0.8779
36	1	0.9038	0.9216	0.9126
36	2	0.8333	0.7798	0.8057
38	0	0.8571	0.8742	0.8656
38	1	0.8972	0.9231	0.9100
38	2	0.8776	0.8037	0.8390
40	0	0.8414	0.8243	0.8328
40	1	0.8924	0.9171	0.9045
40	2	0.8173	0.7944	0.8057
