Seed	Label	Precision	Recall	F1
2	0	0.7736	0.7069	0.7387
2	1	0.6034	0.7447	0.6667
2	2	0.6400	0.7619	0.6957
2	3	0.8182	0.6923	0.7500
2	4	0.8000	0.6667	0.7273
2	5	0.6923	0.8182	0.7500
2	6	0.8750	0.7000	0.7778
2	7	0.8333	0.8333	0.8333
2	8	0.8000	1.0000	0.8889
2	9	0.6667	0.6667	0.6667
2	10	1.0000	0.6667	0.8000
2	11	0.5000	0.5000	0.5000
2	12	0.0000	0.0000	0.0000
2	13	1.0000	0.5000	0.6667
2	14	0.0000	0.0000	0.0000
2	15	0.0000	0.0000	0.0000
2	16	1.0000	1.0000	1.0000
2	17	0.0000	0.0000	0.0000
2	18	0.0000	0.0000	0.0000
2	19	1.0000	1.0000	1.0000
2	20	0.0000	0.0000	0.0000
2	21	0.0000	0.0000	0.0000
2	22	0.0000	0.0000	0.0000
2	23	0.0000	0.0000	0.0000
2	24	0.0000	0.0000	0.0000
4	0	0.8077	0.7241	0.7636
4	1	0.7143	0.8511	0.7767
4	2	0.6471	0.7857	0.7097
4	3	0.8333	0.7692	0.8000
4	4	0.7692	0.8333	0.8000
4	5	0.7273	0.7273	0.7273
4	6	0.6250	0.5000	0.5556
4	7	0.6667	0.6667	0.6667
4	8	1.0000	1.0000	1.0000
4	9	1.0000	0.6667	0.8000
4	10	0.7500	1.0000	0.8571
4	11	0.0000	0.0000	0.0000
4	12	1.0000	0.5000	0.6667
4	13	1.0000	0.5000	0.6667
4	14	0.0000	0.0000	0.0000
4	15	0.0000	0.0000	0.0000
4	16	1.0000	1.0000	1.0000
4	17	1.0000	1.0000	1.0000
4	18	0.0000	0.0000	0.0000
4	19	1.0000	1.0000	1.0000
4	20	0.0000	0.0000	0.0000
4	21	0.0000	0.0000	0.0000
4	22	0.0000	0.0000	0.0000
4	23	0.0000	0.0000	0.0000
4	24	0.0000	0.0000	0.0000
6	0	0.7119	0.7241	0.7179
6	1	0.7000	0.7447	0.7216
6	2	0.6170	0.6905	0.6517
6	3	0.6364	0.5385	0.5833
6	4	0.9000	0.7500	0.8182
6	5	0.7273	0.7273	0.7273
6	6	0.6364	0.7000	0.6667
6	7	1.0000	1.0000	1.0000
6	8	0.6667	1.0000	0.8000
6	9	0.0000	0.0000	0.0000
6	10	0.5000	0.3333	0.4000
6	11	0.5000	0.5000	0.5000
6	12	0.0000	0.0000	0.0000
6	13	1.0000	1.0000	1.0000
6	14	0.0000	0.0000	0.0000
6	15	0.0000	0.0000	0.0000
6	16	1.0000	1.0000	1.0000
6	17	0.0000	0.0000	0.0000
6	18	0.0000	0.0000	0.0000
6	19	1.0000	1.0000	1.0000
6	20	0.0000	0.0000	0.0000
6	21	0.0000	0.0000	0.0000
6	22	0.0000	0.0000	0.0000
6	23	0.0000	0.0000	0.0000
6	24	0.0000	0.0000	0.0000
8	0	0.7593	0.7069	0.7321
8	1	0.6909	0.8085	0.7451
8	2	0.6400	0.7619	0.6957
8	3	0.5385	0.5385	0.5385
8	4	0.5833	0.5833	0.5833
8	5	1.0000	0.9091	0.9524
8	6	0.7500	0.6000	0.6667
8	7	0.8000	0.6667	0.7273
8	8	0.7500	0.7500	0.7500
8	9	0.6667	0.6667	0.6667
8	10	0.5000	0.6667	0.5714
8	11	0.0000	0.0000	0.0000
8	12	0.0000	0.0000	0.0000
8	13	0.4000	1.0000	0.5714
8	14	0.0000	0.0000	0.0000
8	15	1.0000	1.0000	1.0000
8	16	0.0000	0.0000	0.0000
8	17	0.0000	0.0000	0.0000
8	18	0.0000	0.0000	0.0000
8	19	1.0000	1.0000	1.0000
8	20	0.0000	0.0000	0.0000
8	21	0.0000	0.0000	0.0000
8	22	0.0000	0.0000	0.0000
8	23	0.0000	0.0000	0.0000
8	24	0.0000	0.0000	0.0000
10	0	0.8254	0.8966	0.8595
10	1	0.7778	0.7447	0.7609
10	2	0.6739	0.7381	0.7045
10	3	0.9167	0.8462	0.8800
10	4	0.8462	0.9167	0.8800
10	5	0.8333	0.9091	0.8696
10	6	0.6667	0.8000	0.7273
10	7	1.0000	0.6667	0.8000
10	8	0.5714	1.0000	0.7273
10	9	0.6667	0.6667	0.6667
10	10	1.0000	0.6667	0.8000
10	11	1.0000	0.5000	0.6667
10	12	0.0000	0.0000	0.0000
10	13	1.0000	0.5000	0.6667
10	14	0.0000	0.0000	0.0000
10	15	0.5000	1.0000	0.6667
10	16	0.0000	0.0000	0.0000
10	17	0.0000	0.0000	0.0000
10	18	0.0000	0.0000	0.0000
10	19	1.0000	1.0000	1.0000
10	20	0.0000	0.0000	0.0000
10	21	0.0000	0.0000	0.0000
10	22	0.0000	0.0000	0.0000
10	23	0.0000	0.0000	0.0000
10	24	0.0000	0.0000	0.0000
12	0	0.7143	0.6897	0.7018
12	1	0.7021	0.7021	0.7021
12	2	0.6667	0.7143	0.6897
12	3	0.7273	0.6154	0.6667
12	4	0.7000	0.5833	0.6364
12	5	0.7692	0.9091	0.8333
12	6	0.6667	0.8000	0.7273
12	7	0.8571	1.0000	0.9231
12	8	1.0000	0.7500	0.8571
12	9	0.7500	1.0000	0.8571
12	10	0.6000	1.0000	0.7500
12	11	0.0000	0.0000	0.0000
12	12	0.0000	0.0000	0.0000
12	13	1.0000	1.0000	1.0000
12	14	0.0000	0.0000	0.0000
12	15	0.0000	0.0000	0.0000
12	16	0.0000	0.0000	0.0000
12	17	0.5000	1.0000	0.6667
12	18	0.0000	0.0000	0.0000
12	19	1.0000	1.0000	1.0000
12	20	0.0000	0.0000	0.0000
12	21	0.0000	0.0000	0.0000
12	22	0.0000	0.0000	0.0000
12	23	0.0000	0.0000	0.0000
12	24	0.0000	0.0000	0.0000
14	0	0.9000	0.6207	0.7347
14	1	0.6852	0.7872	0.7327
14	2	0.5862	0.8095	0.6800
14	3	0.7333	0.8462	0.7857
14	4	0.6875	0.9167	0.7857
14	5	0.8182	0.8182	0.8182
14	6	0.8889	0.8000	0.8421
14	7	0.7500	0.5000	0.6000
14	8	1.0000	1.0000	1.0000
14	9	0.5000	1.0000	0.6667
14	10	0.6667	0.6667	0.6667
14	11	0.0000	0.0000	0.0000
14	12	0.0000	0.0000	0.0000
14	13	1.0000	1.0000	1.0000
14	14	0.0000	0.0000	0.0000
14	15	0.0000	0.0000	0.0000
14	16	0.0000	0.0000	0.0000
14	17	0.0000	0.0000	0.0000
14	18	0.0000	0.0000	0.0000
14	19	1.0000	1.0000	1.0000
14	20	0.0000	0.0000	0.0000
14	21	0.0000	0.0000	0.0000
14	22	0.0000	0.0000	0.0000
14	23	0.0000	0.0000	0.0000
14	24	0.0000	0.0000	0.0000
16	0	0.6897	0.6897	0.6897
16	1	0.5814	0.5319	0.5556
16	2	0.6346	0.7857	0.7021
16	3	0.7692	0.7692	0.7692
16	4	0.6875	0.9167	0.7857
16	5	0.5882	0.9091	0.7143
16	6	1.0000	0.6000	0.7500
16	7	0.6667	0.6667	0.6667
16	8	1.0000	0.7500	0.8571
16	9	0.6667	0.6667	0.6667
16	10	1.0000	0.6667	0.8000
16	11	0.5000	0.5000	0.5000
16	12	0.5000	0.5000	0.5000
16	13	1.0000	0.5000	0.6667
16	14	0.0000	0.0000	0.0000
16	15	0.0000	0.0000	0.0000
16	16	0.0000	0.0000	0.0000
16	17	0.0000	0.0000	0.0000
16	18	0.0000	0.0000	0.0000
16	19	1.0000	1.0000	1.0000
