Seed	Label	Precision	Recall	F1
2	0	0.8462	0.7586	0.8000
2	1	0.7447	0.7447	0.7447
2	2	0.7083	0.8095	0.7556
4	0	0.8519	0.7931	0.8214
4	1	0.7636	0.8936	0.8235
4	2	0.8684	0.7857	0.8250
6	0	0.7031	0.7759	0.7377
6	1	0.7959	0.8298	0.8125
6	2	0.7941	0.6429	0.7105
8	0	0.7581	0.8103	0.7833
8	1	0.7391	0.7234	0.7312
8	2	0.7436	0.6905	0.7160
10	0	0.8030	0.9138	0.8548
10	1	0.8182	0.7660	0.7912
10	2	0.8919	0.7857	0.8354
12	0	0.7667	0.7931	0.7797
12	1	0.8049	0.7021	0.7500
12	2	0.7174	0.7857	0.7500
14	0	0.8800	0.7586	0.8148
14	1	0.8250	0.7021	0.7586
14	2	0.6491	0.8810	0.7475
16	0	0.7857	0.7586	0.7719
16	1	0.7447	0.7447	0.7447
16	2	0.7727	0.8095	0.7907
18	0	0.8000	0.7586	0.7788
18	1	0.7250	0.6170	0.6667
18	2	0.6346	0.7857	0.7021
20	0	0.8163	0.6897	0.7477
20	1	0.7755	0.8085	0.7917
20	2	0.6735	0.7857	0.7253
22	0	0.7857	0.7586	0.7719
22	1	0.7111	0.6809	0.6957
22	2	0.7391	0.8095	0.7727
24	0	0.7727	0.8793	0.8226
24	1	0.8462	0.7021	0.7674
24	2	0.7619	0.7619	0.7619
26	0	0.7407	0.6897	0.7143
26	1	0.7308	0.8085	0.7677
26	2	0.8049	0.7857	0.7952
28	0	0.8182	0.7759	0.7965
28	1	0.7045	0.6596	0.6813
28	2	0.7083	0.8095	0.7556
30	0	0.7797	0.7931	0.7863
30	1	0.7917	0.8085	0.8000
30	2	0.7000	0.6667	0.6829
32	0	0.7258	0.7759	0.7500
32	1	0.7045	0.6596	0.6813
32	2	0.7561	0.7381	0.7470
34	0	0.8000	0.8966	0.8455
34	1	0.8409	0.7872	0.8132
34	2	0.8158	0.7381	0.7750
36	0	0.7719	0.7586	0.7652
36	1	0.7255	0.7872	0.7551
36	2	0.7436	0.6905	0.7160
38	0	0.6716	0.7759	0.7200
38	1	0.6923	0.5745	0.6279
38	2	0.6585	0.6429	0.6506
40	0	0.7619	0.8276	0.7934
40	1	0.7778	0.7447	0.7609
40	2	0.7949	0.7381	0.7654
