2024-09-07 05:15:29,330 - INFO -                           ade
soc_code label data_type     
10007541 15    train        6
               val          1
10010331 23    val          1
10013993 18    train        3
               val          1
10014698 24    val          1
10015919 10    train       13
               val          3
10017947 3     train       50
               val         13
10018065 1     train      188
               val         47
10019805 19    train        1
               val          1
10021428 13    train        6
               val          2
10021881 17    train        4
               val          1
10022117 9     train       13
               val          3
10022891 5     train       43
               val         11
10027433 6     train       38
               val         10
10028395 4     train       46
               val         12
10029104 21    train        1
               val          1
10029205 2     train      170
               val         42
10037175 0     train      229
               val         58
10038359 16    train        5
               val          1
10038604 11    train        8
               val          2
10038738 8     train       18
               val          4
10040785 7     train       22
               val          6
10041244 14    train        6
               val          1
10042613 20    train        1
               val          1
10047065 12    train        8
               val          2
10077536 22    val          1
2024-09-07 05:15:31,967 - INFO - Device used: cuda
2024-09-07 05:15:32,698 - INFO - No description - training_loss=1.095
2024-09-07 05:15:32,873 - INFO - No description - training_loss=1.060
2024-09-07 05:15:33,040 - INFO - No description - training_loss=1.069
2024-09-07 05:15:33,206 - INFO - No description - training_loss=1.069
2024-09-07 05:15:33,376 - INFO - No description - training_loss=1.007
2024-09-07 05:15:33,551 - INFO - No description - training_loss=0.972
2024-09-07 05:15:33,714 - INFO - No description - training_loss=1.009
2024-09-07 05:15:33,879 - INFO - No description - training_loss=0.980
2024-09-07 05:15:34,044 - INFO - No description - training_loss=0.989
2024-09-07 05:15:34,211 - INFO - No description - training_loss=0.905
2024-09-07 05:15:34,377 - INFO - No description - training_loss=0.894
2024-09-07 05:15:34,545 - INFO - No description - training_loss=0.927
2024-09-07 05:15:34,717 - INFO - No description - training_loss=0.853
2024-09-07 05:15:34,892 - INFO - No description - training_loss=0.874
2024-09-07 05:15:35,066 - INFO - No description - training_loss=0.826
2024-09-07 05:15:35,232 - INFO - No description - training_loss=0.841
2024-09-07 05:15:35,398 - INFO - No description - training_loss=0.859
2024-09-07 05:15:35,567 - INFO - No description - training_loss=0.868
2024-09-07 05:15:35,739 - INFO - No description - training_loss=0.727
2024-09-07 05:15:35,907 - INFO - No description - training_loss=0.809
2024-09-07 05:15:36,077 - INFO - No description - training_loss=0.718
2024-09-07 05:15:36,252 - INFO - No description - training_loss=0.838
2024-09-07 05:15:36,426 - INFO - No description - training_loss=0.827
2024-09-07 05:15:36,599 - INFO - No description - training_loss=0.824
2024-09-07 05:15:36,764 - INFO - No description - training_loss=0.763
2024-09-07 05:15:36,937 - INFO - No description - training_loss=0.737
2024-09-07 05:15:37,110 - INFO - No description - training_loss=0.651
2024-09-07 05:15:37,278 - INFO - No description - training_loss=0.710
2024-09-07 05:15:37,444 - INFO - No description - training_loss=0.828
2024-09-07 05:15:37,609 - INFO - No description - training_loss=0.776
2024-09-07 05:15:37,778 - INFO - No description - training_loss=0.653
2024-09-07 05:15:37,946 - INFO - No description - training_loss=0.731
2024-09-07 05:15:38,116 - INFO - No description - training_loss=0.716
2024-09-07 05:15:38,286 - INFO - No description - training_loss=0.789
2024-09-07 05:15:38,456 - INFO - No description - training_loss=0.628
2024-09-07 05:15:38,628 - INFO - No description - training_loss=0.802
2024-09-07 05:15:38,801 - INFO - No description - training_loss=0.735
2024-09-07 05:15:38,970 - INFO - No description - training_loss=0.692
2024-09-07 05:15:39,142 - INFO - No description - training_loss=0.771
2024-09-07 05:15:39,319 - INFO - No description - training_loss=0.656
2024-09-07 05:15:39,494 - INFO - No description - training_loss=0.666
2024-09-07 05:15:39,669 - INFO - No description - training_loss=0.647
2024-09-07 05:15:39,843 - INFO - No description - training_loss=0.680
2024-09-07 05:15:40,019 - INFO - No description - training_loss=0.622
2024-09-07 05:15:40,192 - INFO - No description - training_loss=0.693
2024-09-07 05:15:40,370 - INFO - No description - training_loss=0.612
2024-09-07 05:15:40,542 - INFO - No description - training_loss=0.604
2024-09-07 05:15:40,722 - INFO - No description - training_loss=0.740
2024-09-07 05:15:40,901 - INFO - No description - training_loss=0.532
2024-09-07 05:15:41,080 - INFO - No description - training_loss=0.712
2024-09-07 05:15:41,258 - INFO - No description - training_loss=0.697
