2024-09-29 23:52:21,274 - INFO -                           ade
soc_code label data_type     
10007541 15    train       73
               val         19
10013993 18    train       13
               val          3
10014698 24    train        2
               val          1
10015919 10    train       54
               val         13
10017947 3     train      240
               val         60
10018065 1     train      523
               val        131
10019805 19    train       12
               val          3
10021428 13    train        3
               val          1
10021881 17    train        4
               val          1
10022117 9     train       28
               val          7
10022891 5     train       65
               val         17
10027433 6     train        5
               val          1
10028395 4     train      769
               val        193
10029104 21    val          1
10029205 2     train      229
               val         57
10037175 0     train      321
               val         80
10038359 16    train       40
               val         10
10038604 11    train       47
               val         12
10038738 8     train       73
               val         18
10040785 7     train      147
               val         37
10041244 14    train        6
               val          1
10047065 12    train       20
               val          5
2024-09-29 23:52:24,630 - INFO - Device used: cuda
2024-09-29 23:52:25,697 - INFO - No description - training_loss=1.040
2024-09-29 23:52:26,232 - INFO - No description - training_loss=1.054
2024-09-29 23:52:26,728 - INFO - No description - training_loss=0.967
2024-09-29 23:52:27,258 - INFO - No description - training_loss=0.949
2024-09-29 23:52:27,745 - INFO - No description - training_loss=0.925
2024-09-29 23:52:28,251 - INFO - No description - training_loss=1.023
2024-09-29 23:52:28,750 - INFO - No description - training_loss=1.014
2024-09-29 23:52:29,264 - INFO - No description - training_loss=0.866
2024-09-29 23:52:29,749 - INFO - No description - training_loss=0.928
2024-09-29 23:52:30,252 - INFO - No description - training_loss=0.946
2024-09-29 23:52:30,766 - INFO - No description - training_loss=0.889
2024-09-29 23:52:31,279 - INFO - No description - training_loss=0.959
2024-09-29 23:52:31,776 - INFO - No description - training_loss=0.874
2024-09-29 23:52:32,287 - INFO - No description - training_loss=0.942
2024-09-29 23:52:32,774 - INFO - No description - training_loss=0.726
2024-09-29 23:52:33,275 - INFO - No description - training_loss=0.758
2024-09-29 23:52:33,774 - INFO - No description - training_loss=0.789
2024-09-29 23:52:34,265 - INFO - No description - training_loss=0.639
2024-09-29 23:52:34,769 - INFO - No description - training_loss=0.693
2024-09-29 23:52:35,247 - INFO - No description - training_loss=0.789
2024-09-29 23:52:35,752 - INFO - No description - training_loss=0.797
