2024-09-29 12:24:16,554 - INFO -                           ade
soc_code label data_type     
10007541 15    train       79
               val         20
10010331 23    val          1
10013993 18    train       16
               val          4
10014698 24    train        2
               val          2
10015919 10    train       67
               val         16
10017947 3     train      290
               val         73
10018065 1     train      711
               val        178
10019805 19    train       13
               val          4
10021428 13    train        9
               val          3
10021881 17    train        8
               val          2
10022117 9     train       41
               val         10
10022891 5     train      108
               val         28
10027433 6     train       43
               val         11
10028395 4     train      815
               val        205
10029104 21    train        1
               val          2
10029205 2     train      399
               val         99
10037175 0     train      550
               val        138
10038359 16    train       45
               val         11
10038604 11    train       55
               val         14
10038738 8     train       91
               val         22
10040785 7     train      169
               val         43
10041244 14    train       12
               val          2
10042613 20    train        1
               val          1
10047065 12    train       28
               val          7
10077536 22    val          1
2024-09-29 12:24:20,683 - INFO - Device used: cuda
2024-09-29 12:24:21,801 - INFO - No description - training_loss=1.048
2024-09-29 12:24:22,324 - INFO - No description - training_loss=1.070
2024-09-29 12:24:22,849 - INFO - No description - training_loss=1.049
2024-09-29 12:24:23,363 - INFO - No description - training_loss=1.015
2024-09-29 12:24:23,877 - INFO - No description - training_loss=1.017
2024-09-29 12:24:24,386 - INFO - No description - training_loss=0.971
2024-09-29 12:24:24,897 - INFO - No description - training_loss=0.968
2024-09-29 12:24:25,414 - INFO - No description - training_loss=0.961
2024-09-29 12:24:25,907 - INFO - No description - training_loss=0.982
2024-09-29 12:24:26,415 - INFO - No description - training_loss=0.877
2024-09-29 12:24:26,917 - INFO - No description - training_loss=0.903
2024-09-29 12:24:27,426 - INFO - No description - training_loss=0.938
2024-09-29 12:24:27,912 - INFO - No description - training_loss=0.858
2024-09-29 12:24:28,396 - INFO - No description - training_loss=0.798
2024-09-29 12:24:28,909 - INFO - No description - training_loss=0.730
2024-09-29 12:24:29,403 - INFO - No description - training_loss=0.620
2024-09-29 12:24:29,904 - INFO - No description - training_loss=0.902
2024-09-29 12:24:30,417 - INFO - No description - training_loss=0.865
2024-09-29 12:24:30,913 - INFO - No description - training_loss=0.918
2024-09-29 12:24:31,431 - INFO - No description - training_loss=0.955
2024-09-29 12:24:31,928 - INFO - No description - training_loss=0.811
2024-09-29 12:24:32,428 - INFO - No description - training_loss=0.806
2024-09-29 12:24:32,912 - INFO - No description - training_loss=0.840
2024-09-29 12:24:33,412 - INFO - No description - training_loss=0.802
2024-09-29 12:24:33,928 - INFO - No description - training_loss=0.744
2024-09-29 12:24:34,428 - INFO - No description - training_loss=0.643
2024-09-29 12:24:34,896 - INFO - No description - training_loss=0.885
2024-09-29 12:24:35,427 - INFO - No description - training_loss=0.775
2024-09-29 12:24:35,927 - INFO - No description - training_loss=0.674
2024-09-29 12:24:36,412 - INFO - No description - training_loss=0.648
2024-09-29 12:24:36,911 - INFO - No description - training_loss=0.583
2024-09-29 12:24:37,396 - INFO - No description - training_loss=0.759
2024-09-29 12:24:37,864 - INFO - No description - training_loss=0.882
2024-09-29 12:24:38,364 - INFO - No description - training_loss=0.745
2024-09-29 12:24:38,880 - INFO - No description - training_loss=0.723
2024-09-29 12:24:39,364 - INFO - No description - training_loss=0.741
2024-09-29 12:24:39,848 - INFO - No description - training_loss=0.733
2024-09-29 12:24:40,333 - INFO - No description - training_loss=0.809
2024-09-29 12:24:40,848 - INFO - No description - training_loss=0.704
2024-09-29 12:24:41,332 - INFO - No description - training_loss=0.708
2024-09-29 12:24:41,817 - INFO - No description - training_loss=0.509
2024-09-29 12:24:42,332 - INFO - No description - training_loss=0.728
2024-09-29 12:24:42,816 - INFO - No description - training_loss=0.650
2024-09-29 12:24:43,316 - INFO - No description - training_loss=0.837
2024-09-29 12:24:43,800 - INFO - No description - training_loss=0.713
2024-09-29 12:24:44,285 - INFO - No description - training_loss=0.667
2024-09-29 12:24:44,785 - INFO - No description - training_loss=0.610
2024-09-29 12:24:45,269 - INFO - No description - training_loss=0.770
2024-09-29 12:24:45,769 - INFO - No description - training_loss=0.542
2024-09-29 12:24:46,222 - INFO - No description - training_loss=0.716
2024-09-29 12:24:46,722 - INFO - No description - training_loss=0.828
2024-09-29 12:24:47,237 - INFO - No description - training_loss=0.567
2024-09-29 12:24:47,721 - INFO - No description - training_loss=0.632
2024-09-29 12:24:48,206 - INFO - No description - training_loss=0.702
2024-09-29 12:24:48,706 - INFO - No description - training_loss=0.746
2024-09-29 12:24:49,190 - INFO - No description - training_loss=0.773
2024-09-29 12:24:49,690 - INFO - No description - training_loss=0.719
2024-09-29 12:24:50,190 - INFO - No description - training_loss=0.613
2024-09-29 12:24:50,658 - INFO - No description - training_loss=0.419
2024-09-29 12:24:51,142 - INFO - No description - training_loss=0.663
2024-09-29 12:24:51,627 - INFO - No description - training_loss=0.659
2024-09-29 12:24:52,111 - INFO - No description - training_loss=0.692
2024-09-29 12:24:52,595 - INFO - No description - training_loss=0.669
2024-09-29 12:24:53,095 - INFO - No description - training_loss=0.661
2024-09-29 12:24:53,579 - INFO - No description - training_loss=0.724
2024-09-29 12:24:54,079 - INFO - No description - training_loss=0.438
2024-09-29 12:24:54,548 - INFO - No description - training_loss=0.613
2024-09-29 12:24:55,048 - INFO - No description - training_loss=0.638
2024-09-29 12:24:55,532 - INFO - No description - training_loss=0.671
2024-09-29 12:24:56,032 - INFO - No description - training_loss=0.529
2024-09-29 12:24:56,532 - INFO - No description - training_loss=0.504
2024-09-29 12:24:57,016 - INFO - No description - training_loss=0.649
2024-09-29 12:24:57,532 - INFO - No description - training_loss=0.600
2024-09-29 12:24:58,016 - INFO - No description - training_loss=0.516
2024-09-29 12:24:58,500 - INFO - No description - training_loss=0.554
2024-09-29 12:24:59,016 - INFO - No description - training_loss=0.611
2024-09-29 12:24:59,500 - INFO - No description - training_loss=0.587
2024-09-29 12:24:59,984 - INFO - No description - training_loss=0.554
2024-09-29 12:25:00,484 - INFO - No description - training_loss=0.570
2024-09-29 12:25:00,968 - INFO - No description - training_loss=0.514
2024-09-29 12:25:01,437 - INFO - No description - training_loss=0.585
2024-09-29 12:25:01,937 - INFO - No description - training_loss=0.635
2024-09-29 12:25:02,421 - INFO - No description - training_loss=0.559
2024-09-29 12:25:02,921 - INFO - No description - training_loss=0.469
