2024-10-01 00:49:44,236 - INFO -                           ade
soc_code label data_type     
10007541 15    train        6
               val          1
10010331 23    val          1
10013993 18    train        3
               val          1
10014698 24    val          1
10015919 10    train       13
               val          3
10017947 3     train       50
               val         13
10018065 1     train      188
               val         47
10019805 19    train        1
               val          1
10021428 13    train        6
               val          2
10021881 17    train        4
               val          1
10022117 9     train       13
               val          3
10022891 5     train       43
               val         11
10027433 6     train       38
               val         10
10028395 4     train       46
               val         12
10029104 21    train        1
               val          1
10029205 2     train      170
               val         42
10037175 0     train      229
               val         58
10038359 16    train        5
               val          1
10038604 11    train        8
               val          2
10038738 8     train       18
               val          4
10040785 7     train       22
               val          6
10041244 14    train        6
               val          1
10042613 20    train        1
               val          1
10047065 12    train        8
               val          2
10077536 22    val          1
2024-10-01 00:49:47,396 - INFO - Device used: cuda
2024-10-01 00:49:48,429 - INFO - No description - training_loss=1.095
2024-10-01 00:49:48,935 - INFO - No description - training_loss=1.060
2024-10-01 00:49:49,442 - INFO - No description - training_loss=1.069
2024-10-01 00:49:49,944 - INFO - No description - training_loss=1.069
2024-10-01 00:49:50,413 - INFO - No description - training_loss=1.007
2024-10-01 00:49:50,904 - INFO - No description - training_loss=0.972
2024-10-01 00:49:51,384 - INFO - No description - training_loss=1.009
2024-10-01 00:49:51,852 - INFO - No description - training_loss=0.980
2024-10-01 00:49:52,329 - INFO - No description - training_loss=0.989
2024-10-01 00:49:52,798 - INFO - No description - training_loss=0.905
2024-10-01 00:49:53,303 - INFO - No description - training_loss=0.894
2024-10-01 00:49:53,778 - INFO - No description - training_loss=0.927
2024-10-01 00:49:54,248 - INFO - No description - training_loss=0.853
2024-10-01 00:49:54,753 - INFO - No description - training_loss=0.874
2024-10-01 00:49:55,251 - INFO - No description - training_loss=0.826
2024-10-01 00:49:55,732 - INFO - No description - training_loss=0.841
2024-10-01 00:49:56,201 - INFO - No description - training_loss=0.859
2024-10-01 00:49:56,685 - INFO - No description - training_loss=0.868
2024-10-01 00:49:57,169 - INFO - No description - training_loss=0.727
2024-10-01 00:49:57,653 - INFO - No description - training_loss=0.809
2024-10-01 00:49:58,122 - INFO - No description - training_loss=0.718
2024-10-01 00:49:58,591 - INFO - No description - training_loss=0.838
2024-10-01 00:49:59,080 - INFO - No description - training_loss=0.827
2024-10-01 00:49:59,546 - INFO - No description - training_loss=0.824
2024-10-01 00:50:00,046 - INFO - No description - training_loss=0.763
2024-10-01 00:50:00,499 - INFO - No description - training_loss=0.737
2024-10-01 00:50:00,983 - INFO - No description - training_loss=0.651
2024-10-01 00:50:01,501 - INFO - No description - training_loss=0.710
2024-10-01 00:50:01,986 - INFO - No description - training_loss=0.828
2024-10-01 00:50:02,467 - INFO - No description - training_loss=0.776
2024-10-01 00:50:02,945 - INFO - No description - training_loss=0.653
2024-10-01 00:50:03,418 - INFO - No description - training_loss=0.731
2024-10-01 00:50:03,902 - INFO - No description - training_loss=0.716
2024-10-01 00:50:04,387 - INFO - No description - training_loss=0.789
2024-10-01 00:50:04,893 - INFO - No description - training_loss=0.628
2024-10-01 00:50:05,372 - INFO - No description - training_loss=0.802
2024-10-01 00:50:05,859 - INFO - No description - training_loss=0.735
2024-10-01 00:50:06,330 - INFO - No description - training_loss=0.692
2024-10-01 00:50:06,836 - INFO - No description - training_loss=0.771
2024-10-01 00:50:07,351 - INFO - No description - training_loss=0.656
2024-10-01 00:50:07,836 - INFO - No description - training_loss=0.666
2024-10-01 00:50:08,320 - INFO - No description - training_loss=0.647
2024-10-01 00:50:08,804 - INFO - No description - training_loss=0.680
2024-10-01 00:50:09,304 - INFO - No description - training_loss=0.622
2024-10-01 00:50:09,820 - INFO - No description - training_loss=0.693
2024-10-01 00:50:10,319 - INFO - No description - training_loss=0.612
2024-10-01 00:50:10,804 - INFO - No description - training_loss=0.604
2024-10-01 00:50:11,304 - INFO - No description - training_loss=0.740
2024-10-01 00:50:11,788 - INFO - No description - training_loss=0.532
2024-10-01 00:50:12,256 - INFO - No description - training_loss=0.712
2024-10-01 00:50:12,741 - INFO - No description - training_loss=0.697
2024-10-01 00:50:13,241 - INFO - No description - training_loss=0.757
2024-10-01 00:50:13,740 - INFO - No description - training_loss=0.748
2024-10-01 00:50:14,256 - INFO - No description - training_loss=0.549
2024-10-01 00:50:14,740 - INFO - No description - training_loss=0.686
2024-10-01 00:50:14,740 - INFO - 
2024-10-01 00:50:14,740 - INFO - 
Epoch 1
2024-10-01 00:50:14,740 - INFO - Training loss: 2.368465449593284
2024-10-01 00:50:14,740 - INFO - No description - None
2024-10-01 00:50:15,224 - INFO - No description - training_loss=0.606
2024-10-01 00:50:15,709 - INFO - No description - training_loss=0.715
2024-10-01 00:50:16,209 - INFO - No description - training_loss=0.519
2024-10-01 00:50:16,693 - INFO - No description - training_loss=0.494
2024-10-01 00:50:17,178 - INFO - No description - training_loss=0.597
2024-10-01 00:50:17,662 - INFO - No description - training_loss=0.441
2024-10-01 00:50:18,162 - INFO - No description - training_loss=0.624
2024-10-01 00:50:18,662 - INFO - No description - training_loss=0.879
2024-10-01 00:50:19,177 - INFO - No description - training_loss=0.513
2024-10-01 00:50:19,646 - INFO - No description - training_loss=0.632
2024-10-01 00:50:20,130 - INFO - No description - training_loss=0.518
2024-10-01 00:50:20,614 - INFO - No description - training_loss=0.516
2024-10-01 00:50:21,114 - INFO - No description - training_loss=0.586
2024-10-01 00:50:21,598 - INFO - No description - training_loss=0.658
2024-10-01 00:50:22,114 - INFO - No description - training_loss=0.472
2024-10-01 00:50:22,614 - INFO - No description - training_loss=0.559
2024-10-01 00:50:23,098 - INFO - No description - training_loss=0.491
2024-10-01 00:50:23,582 - INFO - No description - training_loss=0.530
2024-10-01 00:50:24,066 - INFO - No description - training_loss=0.517
2024-10-01 00:50:24,586 - INFO - No description - training_loss=0.685
2024-10-01 00:50:25,070 - INFO - No description - training_loss=0.626
2024-10-01 00:50:25,595 - INFO - No description - training_loss=0.543
2024-10-01 00:50:26,072 - INFO - No description - training_loss=0.368
2024-10-01 00:50:26,568 - INFO - No description - training_loss=0.693
2024-10-01 00:50:27,037 - INFO - No description - training_loss=0.441
2024-10-01 00:50:27,537 - INFO - No description - training_loss=0.425
2024-10-01 00:50:28,005 - INFO - No description - training_loss=0.560
2024-10-01 00:50:28,491 - INFO - No description - training_loss=0.631
2024-10-01 00:50:28,975 - INFO - No description - training_loss=0.545
2024-10-01 00:50:29,475 - INFO - No description - training_loss=0.525
2024-10-01 00:50:29,928 - INFO - No description - training_loss=0.453
2024-10-01 00:50:30,412 - INFO - No description - training_loss=0.473
2024-10-01 00:50:30,928 - INFO - No description - training_loss=0.680
2024-10-01 00:50:31,412 - INFO - No description - training_loss=0.463
2024-10-01 00:50:31,896 - INFO - No description - training_loss=0.485
2024-10-01 00:50:32,365 - INFO - No description - training_loss=0.424
2024-10-01 00:50:32,865 - INFO - No description - training_loss=0.609
2024-10-01 00:50:33,334 - INFO - No description - training_loss=0.620
2024-10-01 00:50:33,833 - INFO - No description - training_loss=0.524
2024-10-01 00:50:34,318 - INFO - No description - training_loss=0.463
2024-10-01 00:50:34,802 - INFO - No description - training_loss=0.602
2024-10-01 00:50:35,286 - INFO - No description - training_loss=0.448
2024-10-01 00:50:35,755 - INFO - No description - training_loss=0.499
2024-10-01 00:50:36,251 - INFO - No description - training_loss=0.501
2024-10-01 00:50:36,736 - INFO - No description - training_loss=0.366
2024-10-01 00:50:37,236 - INFO - No description - training_loss=0.539
2024-10-01 00:50:37,751 - INFO - No description - training_loss=0.492
2024-10-01 00:50:38,220 - INFO - No description - training_loss=0.674
2024-10-01 00:50:38,704 - INFO - No description - training_loss=0.431
2024-10-01 00:50:39,204 - INFO - No description - training_loss=0.694
2024-10-01 00:50:39,704 - INFO - No description - training_loss=0.510
2024-10-01 00:50:40,157 - INFO - No description - training_loss=0.472
2024-10-01 00:50:40,641 - INFO - No description - training_loss=0.434
2024-10-01 00:50:41,125 - INFO - No description - training_loss=0.305
2024-10-01 00:50:41,594 - INFO - No description - training_loss=0.453
2024-10-01 00:50:41,594 - INFO - 
2024-10-01 00:50:41,609 - INFO - 
Epoch 2
2024-10-01 00:50:41,609 - INFO - Training loss: 1.6103448542681607
2024-10-01 00:50:41,609 - INFO - No description - None
2024-10-01 00:50:42,094 - INFO - No description - training_loss=0.631
2024-10-01 00:50:42,578 - INFO - No description - training_loss=0.383
2024-10-01 00:50:43,062 - INFO - No description - training_loss=0.314
2024-10-01 00:50:43,546 - INFO - No description - training_loss=0.419
2024-10-01 00:50:44,031 - INFO - No description - training_loss=0.289
2024-10-01 00:50:44,531 - INFO - No description - training_loss=0.350
2024-10-01 00:50:45,015 - INFO - No description - training_loss=0.306
2024-10-01 00:50:45,499 - INFO - No description - training_loss=0.397
2024-10-01 00:50:45,983 - INFO - No description - training_loss=0.258
2024-10-01 00:50:46,478 - INFO - No description - training_loss=0.456
2024-10-01 00:50:46,978 - INFO - No description - training_loss=0.222
2024-10-01 00:50:47,462 - INFO - No description - training_loss=0.174
2024-10-01 00:50:47,962 - INFO - No description - training_loss=0.340
2024-10-01 00:50:48,447 - INFO - No description - training_loss=0.367
2024-10-01 00:50:48,962 - INFO - No description - training_loss=0.255
2024-10-01 00:50:49,446 - INFO - No description - training_loss=0.394
2024-10-01 00:50:49,931 - INFO - No description - training_loss=0.421
2024-10-01 00:50:50,415 - INFO - No description - training_loss=0.388
2024-10-01 00:50:50,899 - INFO - No description - training_loss=0.291
2024-10-01 00:50:51,383 - INFO - No description - training_loss=0.426
2024-10-01 00:50:51,899 - INFO - No description - training_loss=0.267
2024-10-01 00:50:52,368 - INFO - No description - training_loss=0.403
2024-10-01 00:50:52,852 - INFO - No description - training_loss=0.139
2024-10-01 00:50:53,320 - INFO - No description - training_loss=0.419
2024-10-01 00:50:53,805 - INFO - No description - training_loss=0.371
2024-10-01 00:50:54,289 - INFO - No description - training_loss=0.238
2024-10-01 00:50:54,773 - INFO - No description - training_loss=0.252
2024-10-01 00:50:55,257 - INFO - No description - training_loss=0.412
2024-10-01 00:50:55,773 - INFO - No description - training_loss=0.391
2024-10-01 00:50:56,273 - INFO - No description - training_loss=0.239
2024-10-01 00:50:56,754 - INFO - No description - training_loss=0.299
2024-10-01 00:50:57,223 - INFO - No description - training_loss=0.498
2024-10-01 00:50:57,738 - INFO - No description - training_loss=0.235
2024-10-01 00:50:58,238 - INFO - No description - training_loss=0.426
2024-10-01 00:50:58,754 - INFO - No description - training_loss=0.194
2024-10-01 00:50:59,254 - INFO - No description - training_loss=0.120
2024-10-01 00:50:59,754 - INFO - No description - training_loss=0.314
2024-10-01 00:51:00,253 - INFO - No description - training_loss=0.395
2024-10-01 00:51:00,738 - INFO - No description - training_loss=0.372
2024-10-01 00:51:01,222 - INFO - No description - training_loss=0.174
2024-10-01 00:51:01,675 - INFO - No description - training_loss=0.381
2024-10-01 00:51:02,144 - INFO - No description - training_loss=0.277
2024-10-01 00:51:02,628 - INFO - No description - training_loss=0.337
2024-10-01 00:51:03,128 - INFO - No description - training_loss=0.329
2024-10-01 00:51:03,612 - INFO - No description - training_loss=0.450
2024-10-01 00:51:04,096 - INFO - No description - training_loss=0.476
2024-10-01 00:51:04,581 - INFO - No description - training_loss=0.176
2024-10-01 00:51:05,080 - INFO - No description - training_loss=0.358
2024-10-01 00:51:05,580 - INFO - No description - training_loss=0.386
2024-10-01 00:51:06,080 - INFO - No description - training_loss=0.185
2024-10-01 00:51:06,580 - INFO - No description - training_loss=0.214
2024-10-01 00:51:07,062 - INFO - No description - training_loss=0.389
2024-10-01 00:51:07,530 - INFO - No description - training_loss=0.200
2024-10-01 00:51:08,030 - INFO - No description - training_loss=0.400
2024-10-01 00:51:08,530 - INFO - No description - training_loss=0.122
2024-10-01 00:51:08,530 - INFO - 
2024-10-01 00:51:08,530 - INFO - 
Epoch 3
2024-10-01 00:51:08,530 - INFO - Training loss: 0.9772123092954809
2024-10-01 00:51:08,530 - INFO - No description - None
2024-10-01 00:51:08,999 - INFO - No description - training_loss=0.203
2024-10-01 00:51:09,483 - INFO - No description - training_loss=0.178
