2024-10-06 11:41:50,976 - INFO -                           ade
soc_code label data_type     
10017947 3     train      290
               val         60
               val1        13
10018065 1     train      711
               val        131
               val1        47
10022891 5     train      108
               val         17
               val1        11
10028395 4     train      816
               val        192
               val1        12
10029205 2     train      399
               val         57
               val1        42
10037175 0     train      551
               val         80
               val1        57
2024-10-06 11:41:58,553 - INFO - Device used: cuda
2024-10-06 11:41:59,100 - INFO - No description - training_loss=0.629
2024-10-06 11:41:59,269 - INFO - No description - training_loss=0.574
2024-10-06 11:41:59,434 - INFO - No description - training_loss=0.563
2024-10-06 11:41:59,594 - INFO - No description - training_loss=0.563
2024-10-06 11:41:59,762 - INFO - No description - training_loss=0.604
2024-10-06 11:41:59,928 - INFO - No description - training_loss=0.578
2024-10-06 11:42:00,094 - INFO - No description - training_loss=0.579
2024-10-06 11:42:00,260 - INFO - No description - training_loss=0.597
2024-10-06 11:42:00,429 - INFO - No description - training_loss=0.517
2024-10-06 11:42:00,595 - INFO - No description - training_loss=0.513
2024-10-06 11:42:00,763 - INFO - No description - training_loss=0.520
2024-10-06 11:42:00,930 - INFO - No description - training_loss=0.569
2024-10-06 11:42:01,096 - INFO - No description - training_loss=0.566
2024-10-06 11:42:01,258 - INFO - No description - training_loss=0.572
2024-10-06 11:42:01,428 - INFO - No description - training_loss=0.575
2024-10-06 11:42:01,596 - INFO - No description - training_loss=0.480
2024-10-06 11:42:01,762 - INFO - No description - training_loss=0.546
2024-10-06 11:42:01,930 - INFO - No description - training_loss=0.562
2024-10-06 11:42:02,095 - INFO - No description - training_loss=0.538
2024-10-06 11:42:02,264 - INFO - No description - training_loss=0.500
2024-10-06 11:42:02,429 - INFO - No description - training_loss=0.494
2024-10-06 11:42:02,595 - INFO - No description - training_loss=0.506
2024-10-06 11:42:02,762 - INFO - No description - training_loss=0.528
2024-10-06 11:42:02,930 - INFO - No description - training_loss=0.448
2024-10-06 11:42:03,096 - INFO - No description - training_loss=0.488
2024-10-06 11:42:03,262 - INFO - No description - training_loss=0.472
2024-10-06 11:42:03,429 - INFO - No description - training_loss=0.486
2024-10-06 11:42:03,594 - INFO - No description - training_loss=0.426
2024-10-06 11:42:03,760 - INFO - No description - training_loss=0.471
2024-10-06 11:42:03,928 - INFO - No description - training_loss=0.487
2024-10-06 11:42:04,094 - INFO - No description - training_loss=0.457
2024-10-06 11:42:04,259 - INFO - No description - training_loss=0.510
2024-10-06 11:42:04,427 - INFO - No description - training_loss=0.530
2024-10-06 11:42:04,594 - INFO - No description - training_loss=0.547
2024-10-06 11:42:04,763 - INFO - No description - training_loss=0.546
2024-10-06 11:42:04,930 - INFO - No description - training_loss=0.539
2024-10-06 11:42:05,093 - INFO - No description - training_loss=0.541
2024-10-06 11:42:05,260 - INFO - No description - training_loss=0.483
2024-10-06 11:42:05,428 - INFO - No description - training_loss=0.562
