Label	Seed	Accuracy
0	Seed_1	0.9630
0	Seed_2	0.9383
0	Seed_3	0.9630
0	Seed_4	0.9012
0	Seed_5	0.9012
0	Seed_6	0.9630
0	Seed_7	0.9506
0	Seed_8	0.9259
0	Seed_9	0.9259
0	Seed_10	0.9259
0	Seed_11	0.9259
0	Seed_12	0.9136
0	Seed_13	0.9012
0	Seed_14	0.8765
0	Seed_15	0.9506
0	Seed_16	0.9136
0	Seed_17	0.9136
0	Seed_18	0.8642
0	Seed_19	0.9877
0	Seed_20	0.9136
1	Seed_1	0.9847
1	Seed_2	0.9237
1	Seed_3	0.9618
1	Seed_4	0.9313
1	Seed_5	0.9542
1	Seed_6	0.9542
1	Seed_7	0.9237
1	Seed_8	0.9237
1	Seed_9	0.9695
1	Seed_10	0.9542
1	Seed_11	0.9695
1	Seed_12	0.8931
1	Seed_13	0.9695
1	Seed_14	0.9389
1	Seed_15	0.9847
1	Seed_16	0.9542
1	Seed_17	0.9313
1	Seed_18	0.9313
1	Seed_19	0.9313
1	Seed_20	0.9313
2	Seed_1	0.9298
2	Seed_2	0.8596
2	Seed_3	0.9298
2	Seed_4	0.9298
2	Seed_5	0.8947
2	Seed_6	0.9123
2	Seed_7	0.9474
2	Seed_8	0.8772
2	Seed_9	0.9123
2	Seed_10	0.8246
2	Seed_11	0.9298
2	Seed_12	0.9474
2	Seed_13	0.8947
2	Seed_14	0.9298
2	Seed_15	0.8070
2	Seed_16	0.9123
2	Seed_17	0.8421
2	Seed_18	1.0000
2	Seed_19	0.8947
2	Seed_20	0.8772

Label	Average Accuracy	Standard Deviation
0	0.9259	0.0300
1	0.9458	0.0230
2	0.9026	0.0445
