Label	Seed	Accuracy
0	Seed_1	0.9237
0	Seed_2	0.9542
0	Seed_3	0.9542
0	Seed_4	0.9237
0	Seed_5	0.9618
0	Seed_6	0.9847
0	Seed_7	0.9542
0	Seed_8	0.9847
0	Seed_9	0.9008
0	Seed_10	0.9618
0	Seed_11	0.9695
0	Seed_12	0.9924
0	Seed_13	0.9618
0	Seed_14	0.9466
0	Seed_15	0.9542
0	Seed_16	0.9542
0	Seed_17	0.9771
0	Seed_18	0.9389
0	Seed_19	0.9466
0	Seed_20	0.9542
1	Seed_1	0.8889
1	Seed_2	0.9753
1	Seed_3	0.8889
1	Seed_4	0.9383
1	Seed_5	0.9630
1	Seed_6	0.9630
1	Seed_7	0.9630
1	Seed_8	0.8765
1	Seed_9	0.9383
1	Seed_10	0.9012
1	Seed_11	0.9259
1	Seed_12	0.8642
1	Seed_13	0.9383
1	Seed_14	0.9012
1	Seed_15	0.9383
1	Seed_16	0.9012
1	Seed_17	0.9136
1	Seed_18	0.8889
1	Seed_19	0.9383
1	Seed_20	0.9136
2	Seed_1	0.9474
2	Seed_2	0.8421
2	Seed_3	0.9123
2	Seed_4	0.9298
2	Seed_5	0.9298
2	Seed_6	0.9123
2	Seed_7	0.9123
2	Seed_8	0.8596
2	Seed_9	0.8947
2	Seed_10	0.8421
2	Seed_11	0.8421
2	Seed_12	0.8947
2	Seed_13	0.9298
2	Seed_14	0.8947
2	Seed_15	0.8421
2	Seed_16	0.8596
2	Seed_17	0.8421
2	Seed_18	0.9825
2	Seed_19	0.8772
2	Seed_20	0.8070

Label	Average Accuracy	Standard Deviation
0	0.9550	0.0216
1	0.9210	0.0311
2	0.8877	0.0438
