Learning Rate: 1e-06, Batch Size: 8, Epochs: 10, Accuracy: 0.596836524651576
Learning Rate: 1e-06, Batch Size: 8, Epochs: 20, Accuracy: 0.6626254325106479
Learning Rate: 1e-06, Batch Size: 8, Epochs: 30, Accuracy: 0.7083818814883401
Learning Rate: 1e-06, Batch Size: 8, Epochs: 40, Accuracy: 0.7360063940675855
Learning Rate: 1e-06, Batch Size: 16, Epochs: 10, Accuracy: 0.6990171703291096
Learning Rate: 1e-06, Batch Size: 16, Epochs: 20, Accuracy: 0.7118388820891987
Learning Rate: 1e-06, Batch Size: 16, Epochs: 30, Accuracy: 0.7218935003269333
Learning Rate: 1e-06, Batch Size: 16, Epochs: 40, Accuracy: 0.7290548221960397
Learning Rate: 1e-06, Batch Size: 32, Epochs: 10, Accuracy: 0.6912396462733721
Learning Rate: 1e-06, Batch Size: 32, Epochs: 20, Accuracy: 0.6801078578744085
Learning Rate: 1e-06, Batch Size: 32, Epochs: 30, Accuracy: 0.6751360480316029
Learning Rate: 1e-06, Batch Size: 32, Epochs: 40, Accuracy: 0.6817055151702042
Learning Rate: 1e-06, Batch Size: 64, Epochs: 10, Accuracy: 0.6555014755645262
Learning Rate: 1e-06, Batch Size: 64, Epochs: 20, Accuracy: 0.6495280841332091
Learning Rate: 1e-06, Batch Size: 64, Epochs: 30, Accuracy: 0.649930583282778
Learning Rate: 1e-06, Batch Size: 64, Epochs: 40, Accuracy: 0.6471440654762537
Learning Rate: 1e-05, Batch Size: 8, Epochs: 10, Accuracy: 0.6590597417317403
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.670526590871214
Learning Rate: 1e-05, Batch Size: 8, Epochs: 30, Accuracy: 0.680210636787776
Learning Rate: 1e-05, Batch Size: 8, Epochs: 40, Accuracy: 0.6892694968982255
Learning Rate: 1e-05, Batch Size: 16, Epochs: 10, Accuracy: 0.6967570162946447
Learning Rate: 1e-05, Batch Size: 16, Epochs: 20, Accuracy: 0.7038736670922648
Learning Rate: 1e-05, Batch Size: 16, Epochs: 30, Accuracy: 0.7102094611856221
