Label	Seed	Accuracy
0	Seed_1	0.8652
0	Seed_2	0.8414
0	Seed_3	0.8056
0	Seed_4	0.8462
0	Seed_5	0.8082
0	Seed_6	0.8311
0	Seed_7	0.8369
0	Seed_8	0.8182
0	Seed_9	0.8811
0	Seed_10	0.7847
0	Seed_11	0.7847
0	Seed_12	0.8243
0	Seed_13	0.8451
0	Seed_14	0.8440
0	Seed_15	0.8042
0	Seed_16	0.8403
0	Seed_17	0.8133
0	Seed_18	0.7266
0	Seed_19	0.7958
0	Seed_20	0.7872
1	Seed_1	0.8261
1	Seed_2	0.8702
1	Seed_3	0.9078
1	Seed_4	0.8614
1	Seed_5	0.8942
1	Seed_6	0.8971
1	Seed_7	0.8883
1	Seed_8	0.8358
1	Seed_9	0.8927
1	Seed_10	0.8800
1	Seed_11	0.9246
1	Seed_12	0.8744
1	Seed_13	0.9069
1	Seed_14	0.8725
1	Seed_15	0.9078
1	Seed_16	0.8600
1	Seed_17	0.8557
1	Seed_18	0.9095
1	Seed_19	0.8634
1	Seed_20	0.8947
2	Seed_1	0.7075
2	Seed_2	0.7885
2	Seed_3	0.7642
2	Seed_4	0.7642
2	Seed_5	0.7642
2	Seed_6	0.7788
2	Seed_7	0.7500
2	Seed_8	0.8173
2	Seed_9	0.7353
2	Seed_10	0.7524
2	Seed_11	0.7339
2	Seed_12	0.8058
2	Seed_13	0.7129
2	Seed_14	0.7723
2	Seed_15	0.7255
2	Seed_16	0.7714
2	Seed_17	0.7383
2	Seed_18	0.7905
2	Seed_19	0.7264
2	Seed_20	0.7900

Label	Average Accuracy	Standard Deviation
0	0.8192	0.0335
1	0.8812	0.0252
2	0.7595	0.0299
