Label	Seed	Accuracy
0	Seed_1	0.8129
0	Seed_2	0.8345
0	Seed_3	0.8273
0	Seed_4	0.8058
0	Seed_5	0.8417
0	Seed_6	0.8777
0	Seed_7	0.8201
0	Seed_8	0.8058
0	Seed_9	0.8561
0	Seed_10	0.8561
0	Seed_11	0.8201
0	Seed_12	0.8849
0	Seed_13	0.8345
0	Seed_14	0.8489
0	Seed_15	0.8489
0	Seed_16	0.8777
0	Seed_17	0.8849
0	Seed_18	0.8345
0	Seed_19	0.8849
0	Seed_20	0.8705
1	Seed_1	0.8989
1	Seed_2	0.8989
1	Seed_3	0.9270
1	Seed_4	0.9270
1	Seed_5	0.9213
1	Seed_6	0.9101
1	Seed_7	0.9101
1	Seed_8	0.8539
1	Seed_9	0.8652
1	Seed_10	0.9213
1	Seed_11	0.9382
1	Seed_12	0.8483
1	Seed_13	0.9551
1	Seed_14	0.8764
1	Seed_15	0.9213
1	Seed_16	0.8989
1	Seed_17	0.9438
1	Seed_18	0.9213
1	Seed_19	0.8820
1	Seed_20	0.8989
2	Seed_1	0.7980
2	Seed_2	0.8485
2	Seed_3	0.7475
2	Seed_4	0.8182
2	Seed_5	0.8283
2	Seed_6	0.7475
2	Seed_7	0.8182
2	Seed_8	0.8384
2	Seed_9	0.7778
2	Seed_10	0.7677
2	Seed_11	0.8485
2	Seed_12	0.8283
2	Seed_13	0.7980
2	Seed_14	0.8687
2	Seed_15	0.7374
2	Seed_16	0.8182
2	Seed_17	0.7475
2	Seed_18	0.7576
2	Seed_19	0.7980
2	Seed_20	0.7475

Label	Average Accuracy	Standard Deviation
0	0.8464	0.0263
1	0.9059	0.0284
2	0.7970	0.0398
