Learning Rate: 1e-06, Batch Size: 4, Epochs: 10, Accuracy: 0.4757887013939839
Learning Rate: 1e-06, Batch Size: 4, Epochs: 20, Accuracy: 0.5335219928029905
Learning Rate: 1e-06, Batch Size: 4, Epochs: 30, Accuracy: 0.5681289716506152
Learning Rate: 1e-06, Batch Size: 4, Epochs: 40, Accuracy: 0.6036316947909024
Learning Rate: 1e-06, Batch Size: 4, Epochs: 50, Accuracy: 0.6242217796876638
Learning Rate: 1e-06, Batch Size: 8, Epochs: 10, Accuracy: 0.5907884878904688
Learning Rate: 1e-06, Batch Size: 8, Epochs: 20, Accuracy: 0.5889036954962958
Learning Rate: 1e-06, Batch Size: 8, Epochs: 30, Accuracy: 0.5836040946092304
Learning Rate: 1e-06, Batch Size: 8, Epochs: 40, Accuracy: 0.5833472434108286
Learning Rate: 1e-06, Batch Size: 8, Epochs: 50, Accuracy: 0.5963799508553727
Learning Rate: 1e-06, Batch Size: 32, Epochs: 10, Accuracy: 0.5724666219897327
Learning Rate: 1e-06, Batch Size: 32, Epochs: 20, Accuracy: 0.5673123207055709
Learning Rate: 1e-06, Batch Size: 32, Epochs: 30, Accuracy: 0.5567940252459694
Learning Rate: 1e-06, Batch Size: 32, Epochs: 40, Accuracy: 0.5594248215304708
Learning Rate: 1e-06, Batch Size: 32, Epochs: 50, Accuracy: 0.5622688824449646
Learning Rate: 1e-06, Batch Size: 64, Epochs: 10, Accuracy: 0.5481714879642247
Learning Rate: 1e-06, Batch Size: 64, Epochs: 20, Accuracy: 0.5399449092427385
Learning Rate: 1e-06, Batch Size: 64, Epochs: 30, Accuracy: 0.533282933564176
Learning Rate: 1e-06, Batch Size: 64, Epochs: 40, Accuracy: 0.5297414482648294
Learning Rate: 1e-06, Batch Size: 64, Epochs: 50, Accuracy: 0.5291452677916361
Learning Rate: 1e-06, Batch Size: 128, Epochs: 10, Accuracy: 0.5198208899602884
Learning Rate: 1e-06, Batch Size: 128, Epochs: 20, Accuracy: 0.5163679558397094
Learning Rate: 1e-06, Batch Size: 128, Epochs: 30, Accuracy: 0.5132499606326523
Learning Rate: 1e-06, Batch Size: 128, Epochs: 40, Accuracy: 0.508117500689034
Learning Rate: 1e-06, Batch Size: 128, Epochs: 50, Accuracy: 0.5037587487917641
Learning Rate: 1e-05, Batch Size: 4, Epochs: 10, Accuracy: 0.5140218060247408
Learning Rate: 1e-05, Batch Size: 4, Epochs: 20, Accuracy: 0.5234748193091715
Learning Rate: 1e-05, Batch Size: 4, Epochs: 30, Accuracy: 0.5328977029794555
Learning Rate: 1e-05, Batch Size: 4, Epochs: 40, Accuracy: 0.5419915902370933
Learning Rate: 1e-05, Batch Size: 4, Epochs: 50, Accuracy: 0.5485984464707869
Learning Rate: 1e-05, Batch Size: 8, Epochs: 10, Accuracy: 0.5528663504310204
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.5597916593881377
Learning Rate: 1e-05, Batch Size: 8, Epochs: 30, Accuracy: 0.5656572714533096
Learning Rate: 1e-05, Batch Size: 8, Epochs: 40, Accuracy: 0.5721665286315064
Learning Rate: 1e-05, Batch Size: 8, Epochs: 50, Accuracy: 0.5772281032735912
Learning Rate: 1e-05, Batch Size: 32, Epochs: 10, Accuracy: 0.5787903990704186
Learning Rate: 1e-05, Batch Size: 32, Epochs: 20, Accuracy: 0.5832119196022352
Learning Rate: 1e-05, Batch Size: 32, Epochs: 30, Accuracy: 0.5879918983077651
Learning Rate: 1e-05, Batch Size: 32, Epochs: 40, Accuracy: 0.5916437710274834
Learning Rate: 1e-05, Batch Size: 32, Epochs: 50, Accuracy: 0.5955982368491539
Learning Rate: 1e-05, Batch Size: 64, Epochs: 10, Accuracy: 0.5951913706329182
Learning Rate: 1e-05, Batch Size: 64, Epochs: 20, Accuracy: 0.5961635082010305
Learning Rate: 1e-05, Batch Size: 64, Epochs: 30, Accuracy: 0.5989674103359715
Learning Rate: 1e-05, Batch Size: 64, Epochs: 40, Accuracy: 0.6022347465854436
Learning Rate: 1e-05, Batch Size: 64, Epochs: 50, Accuracy: 0.6051318481252451
Learning Rate: 1e-05, Batch Size: 128, Epochs: 10, Accuracy: 0.6036957458454156
Learning Rate: 1e-05, Batch Size: 128, Epochs: 20, Accuracy: 0.6049435025098846
Learning Rate: 1e-05, Batch Size: 128, Epochs: 30, Accuracy: 0.6058157387027526
Learning Rate: 1e-05, Batch Size: 128, Epochs: 40, Accuracy: 0.6086206064719847
Learning Rate: 1e-05, Batch Size: 128, Epochs: 50, Accuracy: 0.6121707484656862
Learning Rate: 0.0001, Batch Size: 4, Epochs: 10, Accuracy: 0.6147472929010195
Learning Rate: 0.0001, Batch Size: 4, Epochs: 20, Accuracy: 0.6179329963262465
Learning Rate: 0.0001, Batch Size: 4, Epochs: 30, Accuracy: 0.6125631913641162
Learning Rate: 0.0001, Batch Size: 4, Epochs: 40, Accuracy: 0.6095865019195906
Learning Rate: 0.0001, Batch Size: 4, Epochs: 50, Accuracy: 0.6045637170362043
Learning Rate: 0.0001, Batch Size: 8, Epochs: 10, Accuracy: 0.5997203173272244
Learning Rate: 0.0001, Batch Size: 8, Epochs: 20, Accuracy: 0.6020900257491368
Learning Rate: 0.0001, Batch Size: 8, Epochs: 30, Accuracy: 0.5974562896730023
Learning Rate: 0.0001, Batch Size: 8, Epochs: 40, Accuracy: 0.5998296380118632
Learning Rate: 0.0001, Batch Size: 8, Epochs: 50, Accuracy: 0.6024758643980949
Learning Rate: 0.0001, Batch Size: 32, Epochs: 10, Accuracy: 0.6050659706770264
Learning Rate: 0.0001, Batch Size: 32, Epochs: 20, Accuracy: 0.6073875096311373
Learning Rate: 0.0001, Batch Size: 32, Epochs: 30, Accuracy: 0.6097794407021253
Learning Rate: 0.0001, Batch Size: 32, Epochs: 40, Accuracy: 0.612096987853591
Learning Rate: 0.0001, Batch Size: 32, Epochs: 50, Accuracy: 0.6146031925195535
Learning Rate: 0.0001, Batch Size: 64, Epochs: 10, Accuracy: 0.6168385634636552
Learning Rate: 0.0001, Batch Size: 64, Epochs: 20, Accuracy: 0.6193125140464746
Learning Rate: 0.0001, Batch Size: 64, Epochs: 30, Accuracy: 0.621654017439698
Learning Rate: 0.0001, Batch Size: 64, Epochs: 40, Accuracy: 0.6234851166108942
Learning Rate: 0.0001, Batch Size: 64, Epochs: 50, Accuracy: 0.6252319563188445
Learning Rate: 0.0001, Batch Size: 128, Epochs: 10, Accuracy: 0.6265065734752527
Learning Rate: 0.0001, Batch Size: 128, Epochs: 20, Accuracy: 0.6280691939013044
Learning Rate: 0.0001, Batch Size: 128, Epochs: 30, Accuracy: 0.6299176333749545
Learning Rate: 0.0001, Batch Size: 128, Epochs: 40, Accuracy: 0.6321953176318547
Learning Rate: 0.0001, Batch Size: 128, Epochs: 50, Accuracy: 0.633862822050643
Learning Rate: 0.001, Batch Size: 4, Epochs: 10, Accuracy: 0.6299084866727838
Learning Rate: 0.001, Batch Size: 4, Epochs: 20, Accuracy: 0.6260568613047389
Learning Rate: 0.001, Batch Size: 4, Epochs: 30, Accuracy: 0.6223039955615158
Learning Rate: 0.001, Batch Size: 4, Epochs: 40, Accuracy: 0.6186461390776148
Learning Rate: 0.001, Batch Size: 4, Epochs: 50, Accuracy: 0.6150797290058113
Learning Rate: 0.001, Batch Size: 8, Epochs: 10, Accuracy: 0.6116013784419535
Learning Rate: 0.001, Batch Size: 8, Epochs: 20, Accuracy: 0.6082078656967264
Learning Rate: 0.001, Batch Size: 8, Epochs: 30, Accuracy: 0.6048961243429506
