Learning Rate: 1e-06, Batch Size: 4, Epochs: 10, Accuracy: 0.4757887013939839
Learning Rate: 1e-06, Batch Size: 4, Epochs: 20, Accuracy: 0.5335219928029905
Learning Rate: 1e-06, Batch Size: 4, Epochs: 30, Accuracy: 0.5681289716506152
Learning Rate: 1e-06, Batch Size: 8, Epochs: 10, Accuracy: 0.5510195763313884
Learning Rate: 1e-06, Batch Size: 8, Epochs: 20, Accuracy: 0.5342812889401297
Learning Rate: 1e-06, Batch Size: 8, Epochs: 30, Accuracy: 0.5307202444032965
Learning Rate: 1e-06, Batch Size: 32, Epochs: 10, Accuracy: 0.5025221142504446
Learning Rate: 1e-06, Batch Size: 32, Epochs: 20, Accuracy: 0.48491670451501706
Learning Rate: 1e-06, Batch Size: 32, Epochs: 30, Accuracy: 0.47375783007966915
Learning Rate: 1e-06, Batch Size: 64, Epochs: 10, Accuracy: 0.470708288206454
Learning Rate: 1e-06, Batch Size: 64, Epochs: 20, Accuracy: 0.4637666890051335
Learning Rate: 1e-06, Batch Size: 64, Epochs: 30, Accuracy: 0.45919705209873946
Learning Rate: 1e-05, Batch Size: 4, Epochs: 10, Accuracy: 0.4826072272880783
Learning Rate: 1e-05, Batch Size: 4, Epochs: 20, Accuracy: 0.5018504100099319
Learning Rate: 1e-05, Batch Size: 4, Epochs: 30, Accuracy: 0.5206457899047773
Learning Rate: 1e-05, Batch Size: 8, Epochs: 10, Accuracy: 0.5314330550023875
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.54783586215117
Learning Rate: 1e-05, Batch Size: 8, Epochs: 30, Accuracy: 0.5597706325268076
Learning Rate: 1e-05, Batch Size: 32, Epochs: 10, Accuracy: 0.5611252391188292
Learning Rate: 1e-05, Batch Size: 32, Epochs: 20, Accuracy: 0.5701632719607774
Learning Rate: 1e-05, Batch Size: 32, Epochs: 30, Accuracy: 0.5794102755637186
Learning Rate: 1e-05, Batch Size: 64, Epochs: 10, Accuracy: 0.5801776278665493
Learning Rate: 1e-05, Batch Size: 64, Epochs: 20, Accuracy: 0.5844846067341202
Learning Rate: 1e-05, Batch Size: 64, Epochs: 30, Accuracy: 0.5850964356558633
Learning Rate: 0.0001, Batch Size: 4, Epochs: 10, Accuracy: 0.590976720353096
Learning Rate: 0.0001, Batch Size: 4, Epochs: 20, Accuracy: 0.5810673593138743
Learning Rate: 0.0001, Batch Size: 4, Epochs: 30, Accuracy: 0.5718920250182987
Learning Rate: 0.0001, Batch Size: 8, Epochs: 10, Accuracy: 0.5784633736106327
Learning Rate: 0.0001, Batch Size: 8, Epochs: 20, Accuracy: 0.5847513915543364
Learning Rate: 0.0001, Batch Size: 8, Epochs: 30, Accuracy: 0.589342292717201
Learning Rate: 0.0001, Batch Size: 32, Epochs: 10, Accuracy: 0.59373486770358
Learning Rate: 0.0001, Batch Size: 32, Epochs: 20, Accuracy: 0.599757879735411
Learning Rate: 0.0001, Batch Size: 32, Epochs: 30, Accuracy: 0.6039984444239763
Learning Rate: 0.0001, Batch Size: 64, Epochs: 10, Accuracy: 0.6084959784843259
Learning Rate: 0.0001, Batch Size: 64, Epochs: 20, Accuracy: 0.6136044439786185
Learning Rate: 0.0001, Batch Size: 64, Epochs: 30, Accuracy: 0.6175105554843876

Best result:
Learning Rate: 0.0001, Batch Size: 64, Epochs: 30, Accuracy: 0.6175
