Learning Rate: 1e-05, Batch Size: 4, Epochs: 5, Accuracy: 0.600577624055247
Learning Rate: 1e-05, Batch Size: 4, Epochs: 10, Accuracy: 0.6665909699658782
Learning Rate: 1e-05, Batch Size: 4, Epochs: 15, Accuracy: 0.6867942253122004
Learning Rate: 1e-05, Batch Size: 4, Epochs: 20, Accuracy: 0.7077001013171227
Learning Rate: 1e-05, Batch Size: 8, Epochs: 5, Accuracy: 0.6912354866133296
Learning Rate: 1e-05, Batch Size: 8, Epochs: 10, Accuracy: 0.6973131553102206
Learning Rate: 1e-05, Batch Size: 8, Epochs: 15, Accuracy: 0.7024753652989687
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.7163957598201911
Learning Rate: 1e-05, Batch Size: 32, Epochs: 5, Accuracy: 0.6890948874318892
Learning Rate: 1e-05, Batch Size: 32, Epochs: 10, Accuracy: 0.6874157146350837
Learning Rate: 1e-05, Batch Size: 32, Epochs: 15, Accuracy: 0.6931054597965823
Learning Rate: 1e-05, Batch Size: 32, Epochs: 20, Accuracy: 0.6947758601280244
Learning Rate: 1e-05, Batch Size: 64, Epochs: 5, Accuracy: 0.6774223168207026
Learning Rate: 1e-05, Batch Size: 64, Epochs: 10, Accuracy: 0.667288045078633
Learning Rate: 1e-05, Batch Size: 64, Epochs: 15, Accuracy: 0.6636923686079959
Learning Rate: 1e-05, Batch Size: 64, Epochs: 20, Accuracy: 0.662521908372055
Learning Rate: 0.0001, Batch Size: 4, Epochs: 5, Accuracy: 0.6674695312216352
Learning Rate: 0.0001, Batch Size: 4, Epochs: 10, Accuracy: 0.6572893334937845
Learning Rate: 0.0001, Batch Size: 4, Epochs: 15, Accuracy: 0.6589498936875081
Learning Rate: 0.0001, Batch Size: 4, Epochs: 20, Accuracy: 0.6426690656697994
Learning Rate: 0.0001, Batch Size: 8, Epochs: 5, Accuracy: 0.6488174955316764
Learning Rate: 0.0001, Batch Size: 8, Epochs: 10, Accuracy: 0.6540917507535262
Learning Rate: 0.0001, Batch Size: 8, Epochs: 15, Accuracy: 0.6401457326048222
Learning Rate: 0.0001, Batch Size: 8, Epochs: 20, Accuracy: 0.6444001909885989
Learning Rate: 0.0001, Batch Size: 32, Epochs: 5, Accuracy: 0.6509287402904423
Learning Rate: 0.0001, Batch Size: 32, Epochs: 10, Accuracy: 0.6547314469178006
Learning Rate: 0.0001, Batch Size: 32, Epochs: 15, Accuracy: 0.6586596378721593
Learning Rate: 0.0001, Batch Size: 32, Epochs: 20, Accuracy: 0.6625303826593
Learning Rate: 0.0001, Batch Size: 64, Epochs: 5, Accuracy: 0.6656159482708425
Learning Rate: 0.0001, Batch Size: 64, Epochs: 10, Accuracy: 0.6680959756528356
Learning Rate: 0.0001, Batch Size: 64, Epochs: 15, Accuracy: 0.6715114433501294
Learning Rate: 0.0001, Batch Size: 64, Epochs: 20, Accuracy: 0.6747982391782831
Learning Rate: 0.001, Batch Size: 4, Epochs: 5, Accuracy: 0.6644508177890422
Learning Rate: 0.001, Batch Size: 4, Epochs: 10, Accuracy: 0.6547120682462274
Learning Rate: 0.001, Batch Size: 4, Epochs: 15, Accuracy: 0.6455298186772874
Learning Rate: 0.001, Batch Size: 4, Epochs: 20, Accuracy: 0.6368576940843999
Learning Rate: 0.001, Batch Size: 8, Epochs: 5, Accuracy: 0.6286543329830196
Learning Rate: 0.001, Batch Size: 8, Epochs: 10, Accuracy: 0.6208827277290806
Learning Rate: 0.001, Batch Size: 8, Epochs: 15, Accuracy: 0.6135096663343179
Learning Rate: 0.001, Batch Size: 8, Epochs: 20, Accuracy: 0.6065052580092932
Learning Rate: 0.001, Batch Size: 32, Epochs: 5, Accuracy: 0.5998425281391478
Learning Rate: 0.001, Batch Size: 32, Epochs: 10, Accuracy: 0.5934970711199617
Learning Rate: 0.001, Batch Size: 32, Epochs: 15, Accuracy: 0.5874467516365519
Learning Rate: 0.001, Batch Size: 32, Epochs: 20, Accuracy: 0.5816714466751151
Learning Rate: 0.001, Batch Size: 64, Epochs: 5, Accuracy: 0.5761528219341866
Learning Rate: 0.001, Batch Size: 64, Epochs: 10, Accuracy: 0.5708741373993854
Learning Rate: 0.001, Batch Size: 64, Epochs: 15, Accuracy: 0.5658200777384056
Learning Rate: 0.001, Batch Size: 64, Epochs: 20, Accuracy: 0.5609766038966332

Best result:
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.7164
