Learning Rate: 1e-06, Batch Size: 8, Epochs: 10, Accuracy: 0.4828808999755441
Learning Rate: 1e-06, Batch Size: 8, Epochs: 20, Accuracy: 0.504387497234159
Learning Rate: 1e-06, Batch Size: 8, Epochs: 30, Accuracy: 0.5237182995803685
Learning Rate: 1e-06, Batch Size: 8, Epochs: 40, Accuracy: 0.5444849130652506
Learning Rate: 1e-06, Batch Size: 16, Epochs: 10, Accuracy: 0.5074625301331097
Learning Rate: 1e-06, Batch Size: 16, Epochs: 20, Accuracy: 0.5134652785056306
Learning Rate: 1e-06, Batch Size: 16, Epochs: 30, Accuracy: 0.5036925017010963
Learning Rate: 1e-06, Batch Size: 16, Epochs: 40, Accuracy: 0.5159086806647335
Learning Rate: 1e-06, Batch Size: 32, Epochs: 10, Accuracy: 0.49757382369267916
Learning Rate: 1e-06, Batch Size: 32, Epochs: 20, Accuracy: 0.49897809453935643
Learning Rate: 1e-06, Batch Size: 32, Epochs: 30, Accuracy: 0.4895332107364389
Learning Rate: 1e-06, Batch Size: 32, Epochs: 40, Accuracy: 0.48966351846029027
Learning Rate: 1e-06, Batch Size: 64, Epochs: 10, Accuracy: 0.47763811960437047
Learning Rate: 1e-06, Batch Size: 64, Epochs: 20, Accuracy: 0.47534783049928214
Learning Rate: 1e-06, Batch Size: 64, Epochs: 30, Accuracy: 0.47211178267671294
Learning Rate: 1e-06, Batch Size: 64, Epochs: 40, Accuracy: 0.4723415900965424
Learning Rate: 1e-05, Batch Size: 8, Epochs: 10, Accuracy: 0.4873935879071609
Learning Rate: 1e-05, Batch Size: 8, Epochs: 20, Accuracy: 0.5031740855903243
Learning Rate: 1e-05, Batch Size: 8, Epochs: 30, Accuracy: 0.5166453060996831
Learning Rate: 1e-05, Batch Size: 8, Epochs: 40, Accuracy: 0.5293851681049039
Learning Rate: 1e-05, Batch Size: 16, Epochs: 10, Accuracy: 0.5386039310156279
Learning Rate: 1e-05, Batch Size: 16, Epochs: 20, Accuracy: 0.5497089117778773
Learning Rate: 1e-05, Batch Size: 16, Epochs: 30, Accuracy: 0.5581596233291662
Learning Rate: 1e-05, Batch Size: 16, Epochs: 40, Accuracy: 0.5676165632145089
Learning Rate: 1e-05, Batch Size: 32, Epochs: 10, Accuracy: 0.5705428035728842
Learning Rate: 1e-05, Batch Size: 32, Epochs: 20, Accuracy: 0.5769109833673296
Learning Rate: 1e-05, Batch Size: 32, Epochs: 30, Accuracy: 0.5840845853481379
Learning Rate: 1e-05, Batch Size: 32, Epochs: 40, Accuracy: 0.5908728495066405
Learning Rate: 1e-05, Batch Size: 64, Epochs: 10, Accuracy: 0.5890050642498336
Learning Rate: 1e-05, Batch Size: 64, Epochs: 20, Accuracy: 0.5934260326776835
Learning Rate: 1e-05, Batch Size: 64, Epochs: 30, Accuracy: 0.5988418592612377
Learning Rate: 1e-05, Batch Size: 64, Epochs: 40, Accuracy: 0.6044572619338761
Learning Rate: 0.0001, Batch Size: 8, Epochs: 10, Accuracy: 0.6092098711321016
Learning Rate: 0.0001, Batch Size: 8, Epochs: 20, Accuracy: 0.6129927392820664
Learning Rate: 0.0001, Batch Size: 8, Epochs: 30, Accuracy: 0.6171387312567483
Learning Rate: 0.0001, Batch Size: 8, Epochs: 40, Accuracy: 0.6199888137097723
Learning Rate: 0.0001, Batch Size: 16, Epochs: 10, Accuracy: 0.612241368294193
Learning Rate: 0.0001, Batch Size: 16, Epochs: 20, Accuracy: 0.6154526386889209
Learning Rate: 0.0001, Batch Size: 16, Epochs: 30, Accuracy: 0.6188635282545775
Learning Rate: 0.0001, Batch Size: 16, Epochs: 40, Accuracy: 0.62193515704154
Learning Rate: 0.0001, Batch Size: 32, Epochs: 10, Accuracy: 0.6254626659043029
Learning Rate: 0.0001, Batch Size: 32, Epochs: 20, Accuracy: 0.6290350084763668
Learning Rate: 0.0001, Batch Size: 32, Epochs: 30, Accuracy: 0.6314706799188705
Learning Rate: 0.0001, Batch Size: 32, Epochs: 40, Accuracy: 0.6342600091682997
Learning Rate: 0.0001, Batch Size: 64, Epochs: 10, Accuracy: 0.6374960048963473
Learning Rate: 0.0001, Batch Size: 64, Epochs: 20, Accuracy: 0.6396364887465081
Learning Rate: 0.0001, Batch Size: 64, Epochs: 30, Accuracy: 0.6430619327857897
Learning Rate: 0.0001, Batch Size: 64, Epochs: 40, Accuracy: 0.6448637119721125
Learning Rate: 0.001, Batch Size: 8, Epochs: 10, Accuracy: 0.6385059491427497
Learning Rate: 0.001, Batch Size: 8, Epochs: 20, Accuracy: 0.6324024968265612
Learning Rate: 0.001, Batch Size: 8, Epochs: 30, Accuracy: 0.6265383955815961
Learning Rate: 0.001, Batch Size: 8, Epochs: 40, Accuracy: 0.6208998366922064
Learning Rate: 0.001, Batch Size: 16, Epochs: 10, Accuracy: 0.6154740536099635
Learning Rate: 0.001, Batch Size: 16, Epochs: 20, Accuracy: 0.6102492254566926
Learning Rate: 0.001, Batch Size: 16, Epochs: 30, Accuracy: 0.6052143910544497
Learning Rate: 0.001, Batch Size: 16, Epochs: 40, Accuracy: 0.6003593721665726
Learning Rate: 0.001, Batch Size: 32, Epochs: 10, Accuracy: 0.5956747048186211
Learning Rate: 0.001, Batch Size: 32, Epochs: 20, Accuracy: 0.5911515777240471
Learning Rate: 0.001, Batch Size: 32, Epochs: 30, Accuracy: 0.5867817769716622
Learning Rate: 0.001, Batch Size: 32, Epochs: 40, Accuracy: 0.5825576362443566
Learning Rate: 0.001, Batch Size: 64, Epochs: 10, Accuracy: 0.57847199193434
Learning Rate: 0.001, Batch Size: 64, Epochs: 20, Accuracy: 0.5745181426020657
Learning Rate: 0.001, Batch Size: 64, Epochs: 30, Accuracy: 0.5706898122962127
Learning Rate: 0.001, Batch Size: 64, Epochs: 40, Accuracy: 0.5669811173124177

Best result:
Learning Rate: 0.0001, Batch Size: 64, Epochs: 40, Accuracy: 0.6449
